#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, June 1, 2020","Tuesday, June 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Thai Vegetarian Pineapple Fried Rice,946,39.93,6.712,128.55,9.2,43.22,22.23,3025,122,1005
   3 servings
 Snacks/Other,1135,55.46,9.467,138.35,10.3,44.85,27.7,3125,122,1210
  Thai Vegetarian Pineapple Fried Rice,946,39.93,6.712,128.55,9.2,43.22,22.23,3025,122,1005
   3 servings
  Roasted Salted Cashew Nuts,189,15.53,2.755,9.8,1.1,1.63,5.47,100,0,205
   1/4 cup

"Sunday, June 14, 2020",963,58.84,7.737,67.44,24.45,15.37,55.33,894.71,60,2522.9
 Breakfast,,,,,,,,,,
 Lunch,207,12.08,0,20.09,7.65,3.18,7.65,463.71,0,96.9
  Lantana Yellow Lentil Hummus,171,11.43,,14.28,5.71,2.86,5.71,357.12,0,
   80 g
  Great Value Garbanzo Beans,36,0.65,0,5.81,1.94,0.32,1.94,106.59,0,96.9
   42 g
 Dinner,532,29.25,4.701,33.12,14.1,8.14,41.26,153,60,2002
  Brussels Sprouts,159,1.11,0.229,33.12,14.1,8.14,12.51,92,0,1439
   370 g
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Salmon,194,7.89,1.676,0,0,0,28.75,61,60,563
   133 g
 Snacks/Other,224,17.51,3.036,14.23,2.7,4.05,6.42,278,0,424
  Roasted Salted Cashew Nuts,189,15.53,2.755,9.8,1.1,1.63,5.47,100,0,205
   1/4 cup
  Tomatoes,16,0.18,0.042,3.57,1.1,2.39,0.8,5,0,216
   1 small whole (2-2/5" dia)
  Olives,19,1.8,0.239,0.86,0.5,0.03,0.15,173,0,3
   4 medium

"Monday, June 15, 2020",2178,51.44,25.326,206.78,60.94,44.02,68.21,2331.12,0,3786
 Breakfast,,,,,,,,,,
 Lunch,287,11.73,0.254,36.18,11.74,6.66,12.46,489.12,0,355
  Lantana Yellow Lentil Hummus,139,9.28,,11.6,4.64,2.32,4.64,290.12,0,
   65 g
  Garbanzo Beans,148,2.45,0.254,24.58,7.1,4.34,7.82,199,0,355
   1 serving (82 g)
 Dinner,1191,39.71,25.072,170.32,49.2,37.36,55.75,1839,0,3425
"  Spinach (Chopped or Leaf, Frozen)",88,2.13,0.829,12.3,8.8,2.47,11.19,210,0,1056
   1 package (10 oz)
  Tikka Chickpea Variation,1103,37.58,24.243,158.02,40.4,34.89,44.56,1629,0,2369
   2 servings
 Snacks/Other,700,0,0,0.28,0,0,0,3,0,6
  Whiskey,700,0,0,0.28,0,0,0,3,0,6
   10 fl oz (no ice)

"Wednesday, June 17, 2020",1534,64.62,28.009,135.63,18.23,49.14,103.49,3193.22,385,2063
 Breakfast,,,,,,,,,,
 Lunch,965,40.62,21.869,92.92,5.4,36.88,56.75,1682,148,1481
   Lasagna with Meat,672,24.76,12.768,70.86,5.4,11.21,41.04,1487,99,783
"   2 pieces (1/6 8"" square, approx 2-1/2"" x 4"")"
   Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
