#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, July 1, 2020","Friday, July 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1706,50.37,219.07,75.06
Breakfast,317,11.04,44.1,12.06
Lunch,350,9.14,49.63,15.31
Dinner,682,21.42,82.02,32.71
Snacks/Other,356,8.77,43.32,14.98

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
  King Oscar Anchovies,15,0.75,0.25,0,0,0,2,450,5,
"   1/2  x 6 fillets , 7.5 g"
 Dinner,541,15.43,2.09,81.75,6.3,9.08,20.53,1032,0,182
  Bagel,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
   150 g
  Silk Pure Almond Milk - Unsweetened Original,60,5,0,2,2,0,2,320,0,70
"   2  x 1 cup, 480 ml"
  Jif Natural Creamy Peanut Butter,95,8,1.5,4,1,1.5,3.5,40,0,0
"   1/2  x 2 tbsp, 16.5 g"
 Snacks/Other,334,9.28,1.733,30,3,25,33.92,400,20,494
  Tuna in Oil (Canned),224,9.28,1.733,0,0,0,32.92,400,20,234
   113 g
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"

"Saturday, July 11, 2020",1585,46.9,7.634,197.66,23.24,62.73,100.83,1909.75,134,3181.7
 Breakfast,720,19.85,1.379,117.84,15.64,29.86,24.36,1071.75,0,988.7
  Lantana Yellow Lentil Hummus,182,12.14,,15.18,6.07,3.04,6.07,379.5,0,
   85 g
  Bagel,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
   150 g
  Granny Smith Apples,55,0.18,0.03,14.64,2.5,11.01,0.28,1,0,113
   1 small (2-1/2" dia)
  Dole Arugula,3,0,0,0.51,0.17,0.34,0.34,4.25,0,52.7
   14 g
  Olive Oil,40,4.5,0.621,0,0,0,0,0,0,0
   1 tsp
  Cherry Tomatoes,54,0.6,0.138,11.76,3.6,7.89,2.64,15,0,711
   300 g
 Lunch,,,,,,,,,,
 Dinner,562,25.83,5.96,11.94,3,4.08,67.95,502,134,1877
  Salmon,414,16.81,3.572,0,0,0,61.29,130,128,1199
   10 oz boneless
  Creamed Spinach,148,9.02,2.388,11.94,3,4.08,6.66,372,6,678
   1 cup
 Snacks/Other,303,1.22,0.295,67.88,4.6,28.79,8.52,336,0,316
  Bagel,193,1.22,0.295,37.88,1.6,3.79,7.52,336,0,56
   75 g
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"

"Sunday, July 12, 2020",1714,62.16,22.343,210.29,23.54,154.72,94.95,1353.88,159,5008
 Breakfast,299,6.04,0.417,52.65,7.34,12.6,11.92,463.88,0,781
  Cherry Tomatoes,54,0.6,0.138,11.76,3.6,7.89,2.64,15,0,711
   300 g
  Bagel,180,1.13,0.275,35.35,1.5,3.54,7.01,314,0,52
   70 g
  Lantana Yellow Lentil Hummus,64,4.28,,5.36,2.14,1.07,2.14,133.88,0,
   30 g
  Arugula Lettuce,1,0.03,0.004,0.18,0.1,0.1,0.13,1,0,18
   1/4 cup
 Lunch,265,9.76,1.589,11.76,3.6,7.89,32.71,464,35,1088
"  White Tuna Fish (Drained Solids In Oil, Canned)",211,9.16,1.451,0,0,0,30.07,449,35,377
   4 oz
