#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, March 1, 2020","Tuesday, March 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Brown Rice,107,0.87,0.175,22.21,1.8,0.34,2.5,293,0,42
   1/2 cup cooked
  Red Curry Lentils with Sweet Potatoes and Spinach,970,50,30,105,17.5,0,27.5,1902.5,0,
"   2 1/2  x 1 serving, 4-6 servings per recipe"
 Snacks/Other,,,,,,,,,,

"Friday, March 13, 2020",1416,33.45,8.182,140.74,8.7,20.22,64.7,1819,94,1362
 Breakfast,,,,,,,,,,
 Lunch,687,21.31,3.35,74.72,7.3,18.45,49.09,1166,73,889
  Baked or Broiled Cod,208,6.11,1.073,0.7,0,0.15,35.57,691,73,810
   6 oz boneless
  Bagel,270,1.7,0.413,53.02,2.3,5.3,10.52,470,0,79
   1 regular
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Tanimura & Antle Bell Peppers,30,0,0,7,2,4,1,0,0,
   1 medium pepper
  Food Lion Yellow Onions,60,0,0,14,3,9,2,5,0,
"   1 medium onion, 148 g"
 Dinner,729,12.14,4.832,66.02,1.4,1.77,15.61,653,21,473
  Pizza with Meat,265,12.14,4.832,27.68,1.4,1.77,10.64,610,21,181
   1 piece (1/8 12" dia)
  Beer,464,0,0,38.34,0,0,4.97,43,0,292
   3 cans or bottles (12 fl oz)
 Snacks/Other,,,,,,,,,,

"Saturday, March 14, 2020",1406,30.52,8.614,127.3,8.2,6.34,57.47,1144.5,88.5,618
 Breakfast,,,,,,,,,,
 Lunch,310,0,0,25.56,0,0,3.31,29,0,194
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
 Dinner,851,10.8,2.387,93.65,5.8,4.76,42.99,791.5,67.5,194
  Baguette,301,3.3,0.705,57.09,3.3,0.26,9.68,670,0,
   110 g
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
  Great Value Cod Fillet,135,0.75,0.75,0,0,0,28.5,90,67.5,
"   1 1/2  x 4 oz, 169.5 g"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Publix Red Bell Pepper,15,0,0,4,1,0,0.5,0,0,
"   1/2  x 1 medium pepper, 74 g"
  Food Lion Yellow Onions,30,0,0,7,1.5,4.5,1,2.5,0,
"   1/2  x 1 medium onion, 74 g"
 Snacks/Other,245,19.72,6.227,8.09,2.4,1.58,11.17,324,21,230
  Cheddar Cheese,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g
  Jalapeno Peppers,4,0.09,0.009,0.83,0.4,0.48,0.19,0,0,30
   1 pepper
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"

"Sunday, March 15, 2020",1036,23,0,96.12,6,3,17.62,803,10,388
 Breakfast,416,23,,45,6,3,11,745,10,
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
 Lunch,,,,,,,,,,
 Dinner,310,0,0,25.56,0,0,3.31,29,0,194
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
 Snacks/Other,310,0,0,25.56,0,0,3.31,29,0,194
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)

"Monday, March 16, 2020",1670,5.8,0.886,148.13,4,20.72,21.46,904,0,2045
 Breakfast,,,,,,,,,,
 Lunch,310,0,0,25.56,0,0,3.31,29,0,194
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
 Dinner,425,5.8,0.886,77.83,4,16.16,14.33,817,0,724
  Meatless Spaghetti with Tomato Sauce,425,5.8,0.886,77.83,4,16.16,14.33,817,0,724
   360 g
 Snacks/Other,935,0,0,44.74,0,4.56,3.82,58,0,1127
  Red Table Wine,625,0,0,19.18,0,4.56,0.51,29,0,933
   25 fl oz
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)

"Tuesday, March 17, 2020",545,21.16,12.231,74.91,9.5,0,14.25,762,0,111
 Breakfast,,,,,,,,,,
 Lunch,545,21.16,12.231,74.91,9.5,0,14.25,762,0,111
"  Brown Rice (Medium-Grain, Cooked)",157,1.16,0.231,32.91,2.5,,3.25,1,0,111
   140 g
  Red Curry Lentils with Sweet Potatoes and Spinach,388,20,12,42,7,0,11,761,0,
"   1 serving, 4-6 servings per recipe"
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Wednesday, March 18, 2020",1442,43.47,19.737,127.36,5.4,3.08,81.2,2101,731,714
 Breakfast,403,4.43,1.12,50,2.7,0.83,37.73,967,34,269
  Ciabatta,271,3.5,0.855,50,2.7,0.83,8.8,584,0,
   100 g
  Tuna in Water (Canned),132,0.93,0.265,0,0,0,28.93,383,34,269
   4 oz
 Lunch,729,39.04,18.617,51.8,2.7,2.25,40.16,1105,697,251
  Ciabatta,271,3.5,0.855,50,2.7,0.83,8.8,584,0,
   100 g
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g
 Dinner,310,0,0,25.56,0,0,3.31,29,0,194
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
 Snacks/Other,,,,,,,,,,

"Thursday, March 19, 2020",992,7.56,3.423,87.07,2.7,3.56,12.46,632,11,755
 Breakfast,307,7.56,3.423,50,2.7,0.83,8.84,585,11,1
  Ciabatta,271,3.5,0.855,50,2.7,0.83,8.8,584,0,
   100 g
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
 Lunch,310,0,0,25.56,0,0,3.31,29,0,194
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
 Dinner,375,0,0,11.51,0,2.73,0.31,18,0,560
  Red Table Wine,375,0,0,11.51,0,2.73,0.31,18,0,560
   3 5 fl oz servings
 Snacks/Other,,,,,,,,,,

"Friday, March 20, 2020",1520,12.1,2.455,183.98,12.7,34.57,34.35,2433,6,1103
 Breakfast,,,,,,,,,,
 Lunch,913,9.24,1.97,134.11,8,27.32,26.29,1974,6,456
  Bertolli Marinara Sauce,160,4,0,26,2,24,4,1060,0,
"   2  x 1/2 cup, 252 g"
  Macaroni,520,3.05,0.58,101.7,6,1.86,19.1,769,0,149
"   4 1/4 oz, dry, yields"
  Parmesan Cheese (Shredded),33,2.19,1.39,0.27,0,,3.03,136,6,8
   8 g
  Red Table Wine,200,0,0,6.14,0,1.46,0.16,9,0,299
   8 fl oz
 Dinner,533,1.64,0.358,37.58,1.2,5.08,4.15,359,0,647
  Red Table Wine,400,0,0,12.28,0,2.92,0.33,19,0,597
   16 fl oz
  Bread,133,1.64,0.358,25.3,1.2,2.16,3.82,340,0,50
   50 g
 Snacks/Other,74,1.22,0.127,12.29,3.5,2.17,3.91,100,0,
  Garbanzo Beans,74,1.22,0.127,12.29,3.5,2.17,3.91,100,0,
   1/4 cup

"Saturday, March 21, 2020",761,9.68,1.853,107.7,8.6,31.66,23.95,2073,6,484
 Breakfast,,,,,,,,,,
 Lunch,761,9.68,1.853,107.7,8.6,31.66,23.95,2073,6,484
  Parmesan Cheese (Shredded),33,2.19,1.39,0.27,0,,3.03,136,6,8
   8 g
  Rotini,368,2.16,0.409,71.78,4.2,1.3,13.49,544,0,
"   3 oz, dry, yields"
  Bertolli Marinara Sauce,200,5,0,32.5,2.5,30,5,1325,0,
"   2 1/2  x 1/2 cup, 315 g"
  Spinach,20,0.33,0.054,3.09,1.9,0.36,2.43,67,0,475
   3 oz
  Whiskey,140,0,0,0.06,0,0,0,1,0,1
   2 fl oz (no ice)
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Sunday, March 22, 2020",1264,65.84,25.516,63.74,6.97,20.57,74.62,2321.1,336,222.8
 Breakfast,,,,,,,,,,
 Lunch,358,18.49,3.421,38.01,4.54,3.43,12.25,71,212,67
  Safeway Red Baby Potatoes,145,0,,32.72,3.64,1.82,5.45,0,0,
   200 g
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Red Onions,12,0.02,0.007,2.91,0.4,1.23,0.26,1,0,
   1/4 cup sliced
  Publix Red Bell Pepper,8,0,0,2,0.5,0,0.25,0,0,
"   1/4  x 1 medium pepper, 37 g"
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
 Dinner,645,32.51,12.713,6.33,2.43,1.88,50.75,1430.1,77,155.8
  Whiskey,140,0,0,0.06,0,0,0,1,0,1
   2 fl oz (no ice)
  Wild Planet Wild Skipjack Light Tuna,138,1.15,0,0,0,,32.2,552,23,
   126 g
  Green Olives,42,4.44,0.588,1.11,1,0.16,0.3,451,0,12
   1 10 small serving
  Havarti Cheese,211,16.92,10.695,1.59,0,0.29,13.25,319,54,
   57 g
  Planters Dry Roasted Peanuts,114,10,1.43,3.57,1.43,1.43,5,107.1,0,142.8
   20 g
 Snacks/Other,261,14.84,9.382,19.4,0,15.26,11.62,820,47,0
  Havarti Cheese,186,14.84,9.382,1.4,0,0.26,11.62,280,47,
   50 g
  Mt. Olive Bread & Butter Pickles,75,0,0,18,0,15,0,540,0,0
"   3  x 6 pickles, 84 g"

"Monday, March 23, 2020",1726,14.71,3.72,222.54,15.7,15.03,40.19,1209,59,2804
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,676,12.13,3.23,117.53,10.7,6.4,23.55,522,59,2156
  Spaghetti,220,1.29,0.245,42.95,2.5,0.78,8.06,325,0,63
   1 cup cooked
  Butter,25,2.88,1.824,0,0,0,0.03,0,8,1
   1/4 tbsp
  Shrimp,36,0.59,0.112,0.31,0,0,6.9,153,51,44
   5 medium (shelled)
  Red Potatoes (Flesh and Skin),307,0.6,0.111,67.73,7.2,4.26,8.05,26,0,1938
   2 medium (2-1/4" to 3-1/4" dia)
  Sweet Potato,28,0.02,0.006,6.54,1,1.36,0.51,18,0,110
   1/4 5" long
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
 Snacks/Other,1050,2.58,0.49,105.01,5,8.63,16.64,687,0,648
  White Table Wine,610,0,0,19.11,0,7.06,0.51,37,0,522
   5 5 fl oz servings
  Spaghetti,440,2.58,0.49,85.9,5,1.57,16.13,650,0,126
   2 cups cooked

"Tuesday, March 24, 2020",1421,64.22,36.131,133.84,8.6,3.24,74.29,2604,291,359
 Breakfast,,,,,,,,,,
 Lunch,847,16.8,8.297,129.61,7.6,2.36,40.86,1344,155,298
  Butter,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
  Spaghetti,659,3.87,0.735,128.86,7.6,2.35,24.19,974,0,189
   3 cups cooked
  Shrimp,86,1.41,0.268,0.74,0,0,16.55,368,124,106
   12 medium (shelled)
 Dinner,250,21.06,11.096,2.67,1,0.45,13.31,765,53,12
  Havarti Cheese,208,16.62,10.508,1.56,0,0.29,13.01,314,53,
   56 g
  Green Olives,42,4.44,0.588,1.11,1,0.16,0.3,451,0,12
   1 10 small serving
 Snacks/Other,324,26.36,16.738,1.56,0,0.43,20.12,495,83,49
  Havarti Cheese,122,9.79,6.192,0.92,0,0.17,7.67,185,31,
   33 g
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g

"Wednesday, March 25, 2020",1414,1.87,0.175,143.63,8.8,59.54,11,760,0,42
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,1414,1.87,0.175,143.63,8.8,59.54,11,760,0,42
  Port Wine,1197,0,0,102.42,0,58.2,1.5,67,0,
   750 ml
  Brown Rice,107,0.87,0.175,22.21,1.8,0.34,2.5,293,0,42
   1/2 cup cooked
  La Preferida Canned Black Beans,110,1,0,19,7,1,7,400,0,0
"   1/2 cup , 130 g"
 Snacks/Other,,,,,,,,,,

"Thursday, March 26, 2020",1150,49.31,18.805,143.45,11.5,11,35.6,2438,68,679
 Breakfast,,,,,,,,,,
 Lunch,386,14.63,2.323,54.06,5.6,1.27,11.52,1104,0,369
"  Brown Rice (Medium-Grain, Cooked)",218,1.62,0.322,45.84,3.5,,4.52,2,0,154
   1 cup
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"
  Soy Sauce,8,0.01,0.001,1.22,0.1,0.27,1,902,0,35
   1 tbsp
 Dinner,450,20.99,8.765,53.18,4.2,6.56,13.14,712,34,216
  Bread,223,2.76,0.602,42.51,2,3.62,6.42,572,0,84
   84 g
  Cheddar Cheese,89,7.29,4.64,0.28,0,0.11,5.48,137,23,22
   22 g
  Onions,23,0.04,0.014,5.56,0.8,2.35,0.51,2,0,79
   1/2 medium (2-1/2" dia)
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Publix Red Bell Pepper,15,0,0,4,1,0,0.5,0,0,
"   1/2  x 1 medium pepper, 74 g"
  Jalapeno Peppers,4,0.09,0.009,0.83,0.4,0.48,0.19,0,0,30
   1 pepper
 Snacks/Other,314,13.69,7.717,36.21,1.7,3.17,10.94,622,34,94
  Bread,189,2.34,0.509,35.93,1.7,3.06,5.42,484,0,71
   71 g
  Cheddar Cheese,89,7.29,4.64,0.28,0,0.11,5.48,137,23,22
   22 g
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"

"Friday, March 27, 2020",1220,49.36,19.869,101.3,7.95,20.14,92.91,1696.6,605.4,754
 Breakfast,,,,,,,,,,
 Lunch,229,18.05,8.236,2.78,0,1.78,12.66,141,445,136
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Lee Kum Kee Sriracha Chili Sauce,10,0,0,2,0,1,0,,,
"   1 tsp, 7 g"
  Butter,72,8.11,5.137,0.01,0,0.01,0.08,1,22,2
"   2 pats (1"" sq, 1/3"" high)"
 Dinner,559,19.78,6.068,32.5,4.15,11.2,64.66,564.6,137.4,471
  Sea Cuisine Wild Pacific Cod Loins,272,2.72,0,0,0,0,62.56,489.6,122.4,0
   340 g
  Olive Oil,90,10.12,1.398,0,0,0,0,0,0,0
   3/4 tbsp
  Sweet Potato,112,0.06,0.023,26.16,3.9,5.43,2.04,72,0,438
   1 5" long
