date,weight,calories,fat,saturated,carbohydrate,fiber,sugar,protein,sodium,cholesterol,potassium
"2020-07-15",214.1,1924.0,24.42,8.19,253.1,21.5,131.31,50.15,1376.5,42.0,2166.0
"2020-07-16",212.3,1767.0,66.32,22.587,182.1,13.5,45.85,111.81,1851.0,319.0,3206.0
"2020-07-17",214.7,2484.0,61.51,15.501,170.5,17.5,46.77,91.03,2044.0,182.0,1803.0
"2020-07-18",212.7,1534.0,75.65,11.413,147.09,21.64,56.4,74.49,2916.65,302.0,2009.2
"2020-07-19",213.6,2876.0,213.18,88.684,122.67,15.2,31.77,127.34,3364.26,909.0,1688.0
"2020-07-20",212.9,1566.0,41.96,20.957,194.32,14.7,102.48,106.94,2782.0,238.0,4532.0
"2020-07-21",212.5,1643.0,56.65,18.164,190.76,20.83,54.36,96.06,3334.08,699.0,2664.28
"2020-07-22",212.5,1482.0,63.59,19.103,194.15,17.31,79.12,55.24,2447.96,76.0,2445.6
"2020-07-23",212.7,2071.0,32.98,9.176,189.01,12.46,43.02,41.14,1563.35,22.0,779.8
"2020-07-24",213.8,1348.0,63.85,26.141,140.3,11.8,25.14,59.59,1437.0,930.0,1960.0
"2020-07-25",210.3,1463.0,47.65,7.856,184.87,19.83,56.25,78.12,1966.38,19.0,2298.52
"2020-07-26",209.8,1463.0,74.2,15.971,76.46,6.9,15.56,113.38,1256.0,871.0,1051.0
"2020-07-27",208.3,1407.0,25.71,9.767,82.98,7.7,9.62,93.33,1616.2,222.3,998.0
"2020-07-28",,,,,,,,,,,
"2020-07-29",,,,,,,,,,,
"2020-07-30",,,,,,,,,,,
"2020-07-31",,,,,,,,,,,
"2020-08-01",216.5,1552.0,72.96,26.798,167.25,16.09,66.67,63.68,2040.12,120.0,1899.0
"2020-08-02",214.3,1438.0,44.96,18.948,153.37,11.06,75.6,62.74,1290.78,703.59,1402.0
"2020-08-03",213.8,1645.0,83.39,33.628,116.22,8.96,69.57,112.46,2204.1,797.52,2248.0
"2020-08-04",211.9,1526.0,65.23,29.477,126.95,10.41,67.89,107.95,2704.28,1045.43,1669.25
"2020-08-05",212.3,1843.0,116.58,20.484,163.67,37.7,57.02,45.53,1057.25,648.0,2983.0
"2020-08-06",215.8,1883.0,126.67,30.3,152.29,33.1,101.81,50.14,530.0,701.0,3577.0
"2020-08-07",214.3,1356.0,25.15,4.689,145.83,19.58,59.24,26.99,917.33,17.0,1108.98
"2020-08-08",213.8,1576.0,60.34,27.981,166.34,15.91,54.19,92.51,2159.2,599.0,2701.0
"2020-08-09",213.8,1629.0,59.98,22.753,127.38,12.08,57.23,92.96,1020.95,780.0,2439.6
"2020-08-10",210.3,1855.0,82.41,46.124,77.67,10.2,58.77,89.41,1814.0,838.0,2341.0
"2020-08-11",207.8,1837.0,62.86,15.809,217.77,14.69,29.86,99.45,2940.53,697.15,1054.0
"2020-08-12",209.7,1809.0,38.82,12.381,295.14,18.85,58.12,67.32,3296.59,250.0,707.05
"2020-08-13",209.4,2043.0,121.81,71.09,122.03,10.2,32.68,111.15,3136.34,958.62,2076.43
"2020-08-14",207.9,1434.0,69.52,25.668,125.11,17.8,27.91,82.58,2090.95,228.8,1596.5
"2020-08-15",205.9,1795.0,69.14,14.712,194.32,14.29,34.54,98.61,3584.22,687.0,1085.8
"2020-08-16",208.1,1691.0,73.45,20.446,139.78,11.5,21.72,126.8,4268.5,523.0,510.0
"2020-08-17",207.0,2025.0,60.38,28.819,154.16,8.6,44.43,95.0,3154.5,545.0,1244.5
"2020-08-18",208.6,1749.0,67.48,26.486,194.33,25.4,17.78,90.84,3308.0,396.0,1567.0
"2020-08-19",206.8,2876.0,107.12,48.079,282.9,47.4,58.0,193.68,3886.0,234.0,7316.0
"2020-08-20",208.8,1425.0,49.23,22.439,148.63,14.2,88.71,102.78,1331.0,239.0,2360.0
"2020-08-21",205.6,1926.0,53.0,14.324,71.27,12.2,8.05,75.01,875.0,887.0,979.0
"2020-08-22",205.3,1133.0,62.38,18.409,66.79,6.2,28.64,77.69,1455.0,978.0,1357.0
"2020-08-23",207.2,1126.0,55.08,23.963,74.15,9.5,6.48,82.32,1140.0,737.0,1118.0
"2020-08-24",204.3,,,,,,,,,,
"2020-08-25",202.6,,,,,,,,,,
"2020-08-26",,,,,,,,,,,
"2020-08-27",,,,,,,,,,,
"2020-08-28",,,,,,,,,,,
"2020-08-29",206.8,1782.0,88.79,16.483,186.6,14.6,4.36,58.94,3017.0,846.0,1218.0
"2020-08-30",209.9,1722.0,88.66,40.296,54.36,2.57,30.12,162.66,4013.4,859.0,1841.2
