#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
 Lunch,1064,60.09,11.51,63.48,5.5,3.68,64.82,1778.5,449,628
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Garlic,4,0.02,0.003,0.99,0.1,0.03,0.19,1,0,12
   1 clove
  Olive Oil,239,27,3.728,0,0,0,0,1,0,0
   2 tbsps
  Tuna in Oil (Canned),281,11.64,2.174,0,0,0,41.29,502,26,293
   5 oz
  Tanimura & Antle Parsley,10,0,0,2,1,0.5,1,17.5,0,
"   1/2  x 1 cup , 30 g"
  Flour Tortilla,356,8.84,2.15,58.54,3.5,2.19,9.45,725,0,177
   1 tortilla (approx 12" dia)
  Capers,1,0.04,0.01,0.21,0.1,0.02,0.1,127,0,2
   1/2 tbsp drained
  Lemon Peel,1,0.01,0.001,0.32,0.2,0.08,0.03,0,0,3
   1 tsp
  Green Olives,25,2.6,0.345,0.65,0.6,0.09,0.18,265,0,7
   1/2 10 medium serving
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Saturday, April 11, 2020",1786,40.11,21.166,242.11,12.8,12.14,88.41,519.32,135,1118
 Breakfast,,,,,,,,,,
 Lunch,1576,40.11,21.166,196.11,11.8,12.14,84.41,519.32,135,1058
  Simple Truth Organic Jasmine Rice,630,0,0,138,3,0,12,0,0,180
"   3  x 1 cup, 426 g"
  Peanut Oil,119,13.5,2.282,0,0,0,0,0,0,
   1 tbsp
  Sweet Potato,224,0.13,0.047,52.31,7.8,10.87,4.08,143,0,876
   2 5" long
  Thai Kitchen Coconut Milk,177,17.72,15.19,3.8,0,1.27,1.27,25.32,0,0
   100 ml
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
  Thai Kitchen Red Curry Paste,15,0,0,2,1,0,1,350,0,
"   1 tbsp , 15 g"
  Kroger Snapper,360,3,0,0,,,66,,120,
"   3  x 3 oz, 255 g"
 Dinner,210,0,0,46,1,0,4,0,0,60
  Simple Truth Organic Jasmine Rice,210,0,0,46,1,0,4,0,0,60
"   1 cup, 142 g"
 Snacks/Other,,,,,,,,,,

"Sunday, April 12, 2020",1242,42.83,19.645,185.08,8.8,10.05,26.78,123.32,0,1457
 Breakfast,9,0.19,0.019,0,0,0,1.14,19,0,465
  Coffee (Brewed From Grounds),9,0.19,0.019,0,0,0,1.14,19,0,465
   4 cups (8 fl oz)
 Lunch,,,,,,,,,,
 Dinner,1233,42.64,19.626,185.08,8.8,10.05,25.64,104.32,0,992
  Simple Truth Organic Jasmine Rice,630,0,0,138,3,0,12,0,0,180
"   3  x 1 cup, 426 g"
  Sweet Potato,112,0.06,0.023,26.16,3.9,5.43,2.04,72,0,438
   1 5" long
  Thai Kitchen Coconut Milk,177,17.72,15.19,3.8,0,1.27,1.27,25.32,0,0
   100 ml
  Cashew Nuts,314,24.86,4.413,17.12,1.9,3.35,10.33,7,0,374
   2 oz
 Snacks/Other,,,,,,,,,,

"Monday, April 13, 2020",1136,56.25,22.207,125.97,7.8,15.92,38.61,2133,82,580
 Breakfast,,,,,,,,,,
 Lunch,242,8.34,4.452,31.62,1.5,2.77,9.47,540,20,81
  Bread,165,2.04,0.445,31.38,1.5,2.67,4.74,422,0,62
   62 g
  Cheddar Cheese,77,6.3,4.007,0.24,0,0.1,4.73,118,20,19
   19 g
 Dinner,734,32.91,15.255,85.35,5.3,12.15,24.14,1483,62,499
  Bread,402,4.97,1.083,76.42,3.6,6.51,11.54,1028,0,151
   151 g
  Cheddar Cheese,181,14.91,9.491,0.58,0,0.23,11.2,279,47,44
   45 g
  Butter (Salted),51,5.76,3.647,0,0,0,0.06,41,15,2
   1/2 tbsp
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   1 medium whole (2-3/5" dia)
  Hoisin Sauce,18,0.27,0.045,3.53,0.2,2.18,0.26,129,0,10
   1/2 tbsp
 Snacks/Other,160,15,2.5,9,1,1,5,110,0,0
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"

"Tuesday, April 14, 2020",2089,82.98,21.6,279.48,23.83,39.69,63.19,4246.3,276.7,2130
 Breakfast,132,11.73,,4.4,2.93,0.73,5.13,73.3,0,
  Clover Valley Dry Roasted Almonds,132,11.73,,4.4,2.93,0.73,5.13,73.3,0,
   22 g
 Lunch,735,35.02,6.226,93.27,10.6,11.92,15.11,1092,212,1433
  Potato,416,9.6,1.833,77.44,6.8,3.28,6.64,1016,0,1268
   400 g
  Onions,23,0.04,0.014,5.56,0.8,2.35,0.51,2,0,79
   1/2 medium (2-1/2" dia)
  Tanimura & Antle Bell Peppers,30,0,0,7,2,4,1,0,0,
   1 medium pepper
  Serrano Pepper,2,0.03,0.004,0.41,0.2,0.25,0.11,1,0,19
   1 pepper
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Grape Tomatoes,11,0.13,0.029,2.48,0.8,1.66,0.56,3,0,
   8 grape
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
 Dinner,1222,36.23,15.374,181.81,10.3,27.04,42.95,3081,64.7,697
  Bread,817,10.1,2.201,155.37,7.4,13.23,23.45,2091,0,307
   307 g
