#-------------------------------------------
# Food Diary Report - Detailed Report,"Tuesday, September 1, 2020","Wednesday, September 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Brunswick Anchovies - Flat Fillets in Olive Oil,25,1.5,0,0,0,0,3,980,10,
"   4 pieces, 15 g"
  Garlic ,18,0.06,0.011,3.97,0.3,0.12,0.76,2,0,48
   4 cloves
  Grated Romano Cheese,122,8.11,4.905,1.15,0,0.26,10.9,433,25,
   1 oz
 Dinner,,,,,,,,,,
 Snacks/Other,17,0.04,0.001,4.38,0.5,3.74,0.24,1,0,81
  Dried Apricot,17,0.04,0.001,4.38,0.5,3.74,0.24,1,0,81
   2 halves

"Sunday, September 20, 2020",2383,60.77,35.546,128.48,4,4.5,55.16,2742.64,122,1048
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,2383,60.77,35.546,128.48,4,4.5,55.16,2742.64,122,1048
  Jameson Irish Whiskey,876,0,0,0,0,0,0,0,0,
   13 oz
  Beer,329,0,0,27.16,0,0,3.52,31,0,207
   25 1/2 fl oz
  White Rice,306,0.66,0.18,66.12,0.9,0.12,6.3,865,0,83
   1 1/2 cups cooked
  Scallops,488,24.66,4.986,23.6,1.1,1.85,40.81,1096,122,758
   225 g
  Thai Kitchen Red Curry Paste,30,0,0,4,2,0,2,700,0,
"   2 x 1 tbsp , 30 g"
  Thai Kitchen Coconut Milk,354,35.45,30.38,7.6,0,2.53,2.53,50.64,0,0
   200 ml

"Monday, September 21, 2020",878,42.87,17.244,89.2,5.8,10.6,36.17,1698,471,699
 Breakfast,429,24.72,7.127,35.78,3.6,5.04,17.19,535,434,626
  Potato,161,3.72,0.71,30.01,2.6,1.27,2.57,394,0,491
   155 g
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2 x 1 tbsp, 7.5 ml"
  Dole Green Onion,10,0,0,2,1,1,1,0,0,0
"   2 medium onions, 30 g"
  Butter ,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
