date,start,finish,state
"2020-08-15",64140,64620,"restless"
"2020-08-15",64620,64740,"asleep"
"2020-08-15",64740,64860,"restless"
"2020-08-15",64860,64980,"awake"
"2020-08-15",64980,65100,"asleep"
"2020-08-15",65100,65160,"restless"
"2020-08-15",65160,65220,"asleep"
"2020-08-15",65220,65340,"restless"
"2020-08-15",65340,65640,"asleep"
"2020-08-15",65640,65700,"restless"
"2020-08-15",65700,65940,"asleep"
"2020-08-15",65940,66000,"restless"
"2020-08-15",66000,66780,"asleep"
"2020-08-16",16770,16830,"awake"
"2020-08-16",16830,16890,"restless"
"2020-08-16",16890,20670,"asleep"
"2020-08-16",20670,20730,"restless"
"2020-08-16",33360,36720,"asleep"
"2020-08-16",36720,36780,"restless"
"2020-08-16",36780,36900,"awake"
"2020-08-16",36900,36960,"restless"
"2020-08-16",36960,37140,"asleep"
"2020-08-16",61860,61890,"wake"
"2020-08-16",61890,67110,"light"
"2020-08-16",67110,67860,"deep"
"2020-08-16",67860,68370,"light"
"2020-08-16",68370,69810,"deep"
"2020-08-16",69810,71460,"wake"
"2020-08-16",71460,76290,"light"
"2020-08-17",28440,28830,"wake"
"2020-08-17",28830,30300,"light"
"2020-08-17",30300,30630,"wake"
"2020-08-17",30630,30840,"light"
"2020-08-17",30840,32850,"deep"
"2020-08-17",32850,32880,"light"
"2020-08-17",32880,33780,"wake"
"2020-08-17",33780,36150,"light"
"2020-08-17",36150,39270,"rem"
"2020-08-17",39270,40260,"wake"
"2020-08-17",40260,43440,"light"
"2020-08-17",43440,45030,"rem"
"2020-08-17",45030,47760,"light"
"2020-08-17",47760,48000,"deep"
"2020-08-17",63930,64110,"restless"
"2020-08-17",64110,64230,"asleep"
"2020-08-17",64230,64290,"restless"
"2020-08-17",64290,65550,"asleep"
"2020-08-17",65550,65790,"restless"
"2020-08-17",65790,65970,"asleep"
"2020-08-17",65970,66150,"restless"
"2020-08-17",66150,66270,"asleep"
"2020-08-17",66270,66750,"restless"
"2020-08-17",66750,67230,"asleep"
"2020-08-17",67230,67350,"restless"
"2020-08-17",67350,68190,"asleep"
"2020-08-18",6060,6090,"wake"
"2020-08-18",6090,9060,"light"
"2020-08-18",9060,9540,"wake"
"2020-08-18",9540,11490,"light"
"2020-08-18",11490,12450,"rem"
"2020-08-18",12450,13050,"wake"
"2020-08-18",13050,15360,"light"
"2020-08-18",15360,15570,"wake"
"2020-08-18",15570,15780,"light"
"2020-08-18",15780,16200,"wake"
"2020-08-18",16200,16440,"light"
"2020-08-18",16440,19650,"deep"
"2020-08-18",19650,20580,"light"
"2020-08-18",20580,20970,"deep"
"2020-08-18",20970,21420,"light"
"2020-08-18",21420,21720,"rem"
"2020-08-18",21720,21990,"light"
"2020-08-18",21990,22320,"deep"
"2020-08-18",22320,24570,"light"
"2020-08-18",44760,44820,"awake"
"2020-08-18",44820,44880,"restless"
"2020-08-18",44880,48840,"asleep"
"2020-08-18",60000,63840,"asleep"
"2020-08-18",63840,63900,"restless"
"2020-08-18",63900,63960,"awake"
"2020-08-18",63960,64020,"restless"
"2020-08-18",64020,64620,"awake"
"2020-08-18",64620,64680,"restless"
"2020-08-18",64680,64800,"awake"
"2020-08-18",64800,64920,"restless"
"2020-08-18",64920,65940,"asleep"
"2020-08-18",65940,66120,"restless"
"2020-08-18",66120,66480,"asleep"
